github.com/AlDanial/cloc v 2.08  T=1.00 s (330.9 files/s, 89956.4 lines/s)
--------------------------------------------------------------------------------------------------------------------------------------
File                                                                                               blank        comment           code
ExecutionView\frontend\src\components\ui\item.tsx                                                     14              0            179
ExecutionView\frontend\src\modules\costview\components\OverviewView.tsx                               10              0            178
CostView\src\mapping.py                                                                               20             23            177
scripts\diagnose\diagnose_orders_display.py                                                           47            126            177
ExecutionView\frontend\src\components\ui\select.tsx                                                   12              0            176
CostView\src\query_cli.py                                                                             33             49            175
CostView\src\regime\fill_regime_tagger.py                                                             25             65            175
ExecutionView\frontend\src\lib\monitor-conditions.ts                                                  19             21            174
ExecutionView\frontend\src\components\ui\command.tsx                                                  11              0            171
scripts\diagnose\diagnose_exchange_ticker_issue.py                                                    49            102            171
CostView\src\fill_cleaner.py                                                                          64             74            168
CostView\src\fill_processor.py                                                                        65             55            168
ExecutionView\frontend\src\modules\costview\components\TcaOrderTable.tsx                               7              0            167
scripts\_archive\2026-04-28\verify_fetch_20260403.py                                                  42             22            165
ExecutionView\frontend\src\components\broker-strategy-fields.tsx                                      15             28            161
ExecutionView\backend\api\routers\routes.py                                                           28             31            160
ExecutionView\frontend\src\components\ui\navigation-menu.tsx                                          11              0            157
scripts\workflow\validate_phase_gate.py                                                               32              1            154
ExecutionView\frontend\src\hooks\use-app-shell-state.ts                                               20             10            153
ExecutionView\frontend\src\components\ui\input-group.tsx                                              15              3            152
ExecutionView\frontend\src\modules\databaseview\components\DatabaseDetailDrawer.tsx                   11              0            151
ExecutionView\frontend\src\services\handoff-api.ts                                                    20             12            149
scripts\mcp\knowledge-server.py                                                                       67            102            149
ExecutionView\frontend\src\hooks\use-startup-status.ts                                                18              5            148
ExecutionView\frontend\src\modules\marketview\types.ts                                                14              0            148
ExecutionView\backend\api\tests\test_marketview_router.py                                             17              0            143
ExecutionView\frontend\src\components\ui\form.tsx                                                     24              0            143
ExecutionView\frontend\src\modules\costview\services\api.ts                                           22              1            143
ExecutionView\backend\api\tests\test_compliance_service.py                                            44             23            142
ExecutionView\frontend\src\components\ui\alert-dialog.tsx                                             13              0            142
CostView\src\regime\market_index_loader.py                                                            29             44            141
scripts\diagnose\check-startup-status.ps1                                                             26              0            140
ExecutionView\frontend\src\index.css                                                                  34             11            137
ExecutionView\frontend\src\modules\marketview\lib\workspace.test.ts                                    6              0            136
CostView\src\processed_raw_bdib_db.py                                                                 31             54            134
ExecutionView\frontend\src\modules\databaseview\DatabaseViewModule.tsx                                12              0            134
ExecutionView\frontend\src\hooks\use-trade-hotkeys.tsx                                                11             21            133
ExecutionView\frontend\src\modules\costview\components\PriceDynamicsChart.tsx                         11              0            133
ExecutionView\frontend\src\sections\LazyOrderBoard.tsx                                                 9              2            133
ExecutionView\backend\api\tests\test_execution_history_router.py                                      22              0            131
CostView\src\attribution\benchmarks.py                                                                34             85            129
ExecutionView\frontend\src\components\ui\dialog.tsx                                                   12              0            129
CostView\src\regime\validate_macro_calendar.py                                                        28             21            128
ExecutionView\backend\api\routers\market_broker_mapping.py                                            45             35            127
ExecutionView\backend\api\services\order_projections.py                                               27             49            125
ExecutionView\frontend\src\components\ui\sheet.tsx                                                    12              0            125
ExecutionView\frontend\src\modules\costview\lib\storage.ts                                            18              0            124
ExecutionView\frontend\src\modules\databaseview\types.ts                                              20              4            124
CostView\src\fill_aggregator.py                                                                       44             32            123
ExecutionView\frontend\src\sections\WorkspaceModuleTabs.tsx                                            4              4            123
CostView\src\execution_history_service.py                                                             19             98            122
CostView\src\regime\vol_regime.py                                                                     24             30            122
ExecutionView\backend\api\auth.py                                                                     28             23            122
ExecutionView\frontend\src\components\ui\drawer.tsx                                                   13              0            122
ExecutionView\backend\api\services\benchmark_engine.py                                                42             36            117
ExecutionView\frontend\src\components\ui\pagination.tsx                                               10              0            117
ExecutionView\frontend\src\hooks\use-handoff-contracts.tsx                                            13             14            117
ExecutionView\frontend\src\modules\databaseview\components\SampleTable.tsx                             7              5            115
scripts\workflow\generate_handoff_snapshot.py                                                         25              1            114
ExecutionView\backend\api\models\route_plan.py                                                        51             32            113
ExecutionView\frontend\src\modules\costview\lib\thresholds.test.ts                                    13              0            113
scripts\_archive\2026-04-28\test_exchange_ticker_fix.py                                               37             13            113
ExecutionView\frontend\src\components\startup-gate.tsx                                                12              4            112
ExecutionView\frontend\src\modules\costview\components\RegimeDistributionPanel.tsx                    10              1            110
scripts\_archive\2026-04-28\test_orders_display_fix.py                                                35             10            110
ExecutionView\frontend\src\modules\costview\components\VolumeDynamicsChart.tsx                        12              0            109
CostView\src\database_access.py                                                                       38             37            104
ExecutionView\frontend\src\components\ui\table.tsx                                                    10              0            104
ExecutionView\backend\api\routers\execution_history.py                                                17              1            103
ExecutionView\backend\api\tests\test_realtime_gateway.py                                              23             10            103
CostView\src\processing_config.py                                                                     45             86            102
CostView\src\fill_bdib_db.py                                                                          22             46            100
ExecutionView\frontend\src\sections\ExecutionViewTabs.tsx                                              4              4            100
CostView\src\exchange_tz.py                                                                           37             67             99
ExecutionView\frontend\src\components\ui\breadcrumb.tsx                                               10              0             99
CostView\src\database.py                                                                              23             13             98
platform_data\__init__.py                                                                              5             12             98
CostView\src\downstream_interface.py                                                                  39             39             97
ExecutionView\backend\api\tests\test_connection_router.py                                             27              1             97
scripts\diagnose\diagnose_order.py                                                                    17             10             96
ExecutionView\frontend\src\components\ui\empty.tsx                                                     9              0             95
ExecutionView\frontend\src\modules\costview\components\TcaFilterWorkbench.tsx                          6              0             95
ExecutionView\frontend\src\hooks\use-market-broker-mapping.ts                                         16             35             94
ExecutionView\frontend\src\modules\databaseview\components\DateCoverageHeatmap.tsx                     5              3             94
scripts\deploy\setup-windows.ps1                                                                      18             13             94
scripts\export-localstorage-cache.js                                                                  18             20             93
ExecutionView\backend\api\routers\debug.py                                                            18              3             92
scripts\hooks\session-context.py                                                                      26             11             90
scripts\workflow\collect_ci_status.py                                                                 21              8             90
CostView\src\regime\migrations\v2_to_v3.sql                                                           12             48             89
ExecutionView\backend\api\tests\test_config_service.py                                                22              3             89
ExecutionView\frontend\src\lib\health-palette.ts                                                      16             27             88
ExecutionView\frontend\src\modules\databaseview\services\api.ts                                       10              0             88
CostView\src\regime\trend_regime.py                                                                   20             27             87
ExecutionView\frontend\src\components\route-action-menu.tsx                                            7              3             87
ExecutionView\frontend\src\modules\marketview\services\api.ts                                         17              0             87
ExecutionView\frontend\src\sections\ToastContainer.tsx                                                 9             11             86
CostView\src\regime\config.py                                                                         16             39             83
ExecutionView\frontend\src\components\ui\card.tsx                                                      9              0             83
ExecutionView\backend\api\repositories\parent_child_repository.py                                     20              8             82
scripts\cleanup-logs.ps1                                                                              17             12             82
ExecutionView\backend\api\services\realtime_gateway.py                                                28             28             80
scripts\diagnose\diagnose_odd_lot.py                                                                  19             12             80
CostView\src\regime\sync_macro_calendar.py                                                            15             22             79
scripts\sync-metrics.py                                                                               28             16             79
ExecutionView\frontend\src\components\ui\button-group.tsx                                              7              0             76
CostView\src\regime\liquidity_regime.py                                                               17             19             75
ExecutionView\frontend\src\components\compliance-violation.tsx                                         9              6             75
ExecutionView\frontend\src\components\ui\toggle-group.tsx                                              6              0             75
ExecutionView\frontend\src\modules\costview\components\ExportDialog.tsx                                4              0             74
ExecutionView\backend\api\models\parent_child_orders.py                                               37             26             73
CostView\src\regime\sync_market_mapping.py                                                            18             25             72
ExecutionView\backend\api\migrations\003_route_plan.sql                                               25             13             72
CostView\src\attribution\recommender.py                                                               14             30             71
CostView\src\regime\migrations\apply.py                                                               18             21             71
ExecutionView\frontend\src\modules\costview\lib\report-state.test.ts                                   5              0             71
CostView\src\attribution\config.py                                                                    13             21             70
ExecutionView\frontend\src\App.css                                                                    13             10             70
CostView\src\order_label.py                                                                           26             30             69
ExecutionView\backend\api\tests\test_service_provider.py                                              34             16             69
CostView\src\outdated_tickers.py                                                                      24              1             68
ExecutionView\frontend\src\components\ui\input-otp.tsx                                                 7              0             68
CostView\src\regime\time_bucket.py                                                                    14             36             66
ExecutionView\backend\api\tests\test_auth_policy.py                                                   20             10             66
ExecutionView\frontend\src\modules\databaseview\components\RestartHint.tsx                             4              9             64
CostView\src\regime\run_journal.py                                                                    14             18             63
ExecutionView\frontend\src\modules\databaseview\components\UpdateControl.tsx                           5              0             63
scripts\diagnose\diagnose_market_data.py                                                              22             35             63
ExecutionView\frontend\src\components\ui\alert.tsx                                                     6              0             60
ExecutionView\frontend\src\modules\costview\components\TcaRouteTable.tsx                               5              0             60
ExecutionView\frontend\src\components\ui\tabs.tsx                                                      7              0             59
CostView\src\storage\regime_reader.py                                                                  9              1             58
ExecutionView\frontend\src\components\ui\accordion.tsx                                                 6              0             58
ExecutionView\frontend\src\components\ui\slider.tsx                                                    5              0             58
ExecutionView\frontend\src\modules\databaseview\lib\format.ts                                          8              6             58
scripts\run_attribution_notebook.py                                                                   12              7             58
ExecutionView\backend\api\routers\realtime.py                                                         17              5             57
ExecutionView\frontend\src\components\ui\button.tsx                                                    5              0             57
ExecutionView\frontend\src\lib\table-constants.ts                                                     12              7             57
ExecutionView\backend\api\db.py                                                                       23              7             56
CostView\src\regime\migrations\v1_to_v2.sql                                                            3             20             55
ExecutionView\frontend\src\modules\costview\lib\report-state.ts                                        6              0             55
ExecutionView\frontend\src\components\ui\scroll-area.tsx                                               5              0             54
ExecutionView\frontend\src\components\ui\tooltip.tsx                                                   7              0             54
ExecutionView\frontend\src\modules\databaseview\components\DatabaseOverviewGrid.tsx                    2              0             53
ExecutionView\backend\api\routers\connection.py                                                       14              6             51
ExecutionView\backend\api\services\route_projections.py                                               14             20             51
ExecutionView\backend\api\routers\database.py                                                         59            180             49
ExecutionView\frontend\src\components\ui\resizable.tsx                                                 5              0             49
ExecutionView\backend\api\config.py                                                                   24             25             48
ExecutionView\backend\api\repositories\routes.py                                                       7              0             48
ExecutionView\backend\api\repositories\orders.py                                                       7              0             47
CostView\src\regime\sync_macro_event_dict.py                                                          12             12             46
ExecutionView\backend\api\models\execution_state.py                                                   18              0             46
ExecutionView\frontend\src\components\ui\avatar.tsx                                                    5              0             46
ExecutionView\backend\api\migrations\001_init_execution_schema.sql                                     7              1             45
ExecutionView\frontend\src\data\exchange-region-mapping.ts                                             7             15             44
ExecutionView\backend\api\deps.py                                                                     25             22             43
ExecutionView\backend\api\migrations\002_parent_child_execution.sql                                   16              6             43
ExecutionView\frontend\src\modules\databaseview\components\IntegrityBanner.tsx                         2              0             42
ExecutionView\backend\api\services\bloomberg_interface.py                                             22             22             41
ExecutionView\backend\api\services\event_serializers.py                                                9              7             41
ExecutionView\frontend\src\components\ui\badge.tsx                                                     5              0             41
ExecutionView\frontend\src\components\ui\popover.tsx                                                   7              0             41
ExecutionView\frontend\src\components\ui\toggle.tsx                                                    4              0             41
ExecutionView\frontend\src\hooks\use-orders-stream.ts                                                  9             10             41
ExecutionView\frontend\src\hooks\use-routes-stream.ts                                                  9             10             41
ExecutionView\frontend\src\components\ui\radio-group.tsx                                               5              0             40
CostView\src\attribution\metrics.py                                                                   11             17             39
ExecutionView\backend\api\services\config_service.py                                                  19             30             39
ExecutionView\backend\api\tests\test_bloomberg_adapter_refdata.py                                     22              1             39
ExecutionView\frontend\src\stores\order-stream-store.ts                                                7             10             39
ExecutionView\frontend\src\stores\route-stream-store.ts                                                7              8             39
ExecutionView\frontend\src\components\ui\hover-card.tsx                                                6              0             38
ExecutionView\backend\api\repositories\audit.py                                                        6              0             35
ExecutionView\backend\api\requirements.txt                                                            10              0             35
ExecutionView\frontend\src\components\ui\sonner.tsx                                                    3              0             35
CostView\src\regime\market_code.py                                                                    10             27             33
ExecutionView\backend\api\Dockerfile                                                                  17             22             32
ExecutionView\backend\api\tests\test_db_bootstrap.py                                                  12              0             32
CostView\src\regime\schema.py                                                                         15             20             31
scripts\hooks\log-change.py                                                                           13              9             31
scripts\deploy\start-backend.ps1                                                                       6              5             30
scripts\diagnose\_repro_pipeline.py                                                                    4              1             30
ExecutionView\backend\api\services\auth_service.py                                                    20             29             29
ExecutionView\frontend\src\lib\format-utils.ts                                                         9             13             29
ExecutionView\frontend\src\lib\reconcile-settings.ts                                                   5              9             29
ExecutionView\frontend\src\modules\marketview\lib\workspace.ts                                         4              0             29
ExecutionView\frontend\src\components\ui\checkbox.tsx                                                  4              0             28
scripts\diagnose\_inspect_raw_fills.py                                                                 0              0             28
ExecutionView\frontend\src\components\ui\collapsible.tsx                                               4              0             27
ExecutionView\frontend\src\components\ui\switch.tsx                                                    4              0             27
ExecutionView\frontend\src\components\ui\progress.tsx                                                  3              0             26
ExecutionView\frontend\src\components\ui\kbd.tsx                                                       3              0             25
scripts\_archive\2026-04-28\test_derive_exchange.py                                                    4              1             25
scripts\diagnose\regime_report.py                                                                      7              8             25
scripts\hooks\session-summary.py                                                                      11              7             25
ExecutionView\frontend\src\components\ui\separator.tsx                                                 4              0             24
ExecutionView\backend\api\tests\test_projection_repositories.py                                        8              0             20
ExecutionView\frontend\src\components\ui\label.tsx                                                     4              0             20
ExecutionView\backend\api\routers\auth.py                                                              6              2             19
scripts\deploy\create-desktop-shortcut.ps1                                                             6              4             19
ExecutionView\backend\api\start_server.py                                                              4              7             18
ExecutionView\frontend\src\components\ui\input.tsx                                                     3              0             18
ExecutionView\frontend\src\components\ui\textarea.tsx                                                  3              0             15
ExecutionView\frontend\src\hooks\use-mobile.ts                                                         4              0             15
scripts\diagnose\_inspect_dates.py                                                                     0              0             15
ExecutionView\backend\api\models\__init__.py                                                           1              0             14
ExecutionView\frontend\src\components\ui\spinner.tsx                                                   2              0             14
CostView\src\processed_bdib_db.py                                                                      6              8             13
scripts\deploy\start-frontend.ps1                                                                      4              3             13
scripts\diagnose\_inspect_raw_fills2.py                                                                0              0             13
ExecutionView\frontend\src\components\ui\skeleton.tsx                                                  2              0             11
scripts\restart-all.bat                                                                                3              2             11
scripts\start-all.bat                                                                                  3              2             11
scripts\stop-all.bat                                                                                   3              2             11
CostView\src\attribution\__init__.py                                                                   3              8             10
scripts\check-status.bat                                                                               3              2             10
ExecutionView\frontend\src\main.tsx                                                                    1              0              9
CostView\frontend\src\README.md                                                                        5              0              8
ExecutionView\backend\api\data\broker_hand_instruction.json                                            1              0              8
ExecutionView\backend\api\repositories\__init__.py                                                     1              0              8
ExecutionView\frontend\src\components\ui\aspect-ratio.tsx                                              3              0              8
scripts\diagnose\_check_bdib_index.py                                                                  0              0              8
CostView\src\regime\data_source.py                                                                     6             11              6
ExecutionView\backend\api\.pytest_cache\README.md                                                      3              0              5
ExecutionView\frontend\src\lib\utils.ts                                                                1              0              5
scripts\diagnose\test_hash.py                                                                          0              0              5
CostView\src\regime\__init__.py                                                                        5             12              3
CostView\src\storage\__init__.py                                                                       4             12              2
CostView\src\__init__.py                                                                               1              3              1
scripts\mcp\requirements.txt                                                                           0              0              1
CostView\src\regime\migrations\__init__.py                                                             0              1              0
ExecutionView\backend\api\routers\__init__.py                                                          0              1              0
ExecutionView\backend\api\services\__init__.py                                                         1              0              0
--------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                8979           7745          73263
--------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Python                         156           6159           6077          27632
TypeScript                     145           2395           1299          26240
JSON                             3              1              0          17187
PowerShell                       7            168             71            897
SQL                              6             85            183            483
CSS                              2             47             21            207
VBScript                         1             20             29            207
Bourne Shell                     1             39             15            193
JavaScript                       1             18             20             93
DOS Batch                        4             12              8             43
Text                             2             10              0             36
Dockerfile                       1             17             22             32
Markdown                         2              8              0             13
-------------------------------------------------------------------------------
SUM:                           331           8979           7745          73263
-------------------------------------------------------------------------------
