EMSX_FIELD_NAME,EMSX_DISP_NAME,EMSX_TYPE,EMSX_LEVEL,EMSX_LEN
EMSX_PM_UUID,PmUuid,Int32,1,10
EMSX_LOCATE_REQ,Locate Req,String,8,3
EMSX_LOCATE_BROKER,Locate Broker,String,8,10
EMSX_LOCATE_ID,Locate ID,String,8,20
EMSX_ML_ID,ML ID,String,2,25
EMSX_BLOCK_ID,Block ID,String,1,40
EMSX_ROUTE_REF_ID,RouteRefID,String,10,15
EMSX_BROKER_STATUS,Broker Status,String,2,9
EMSX_BUYSIDE_LEI,Buyside LEI,String,27,20
EMSX_BROKER_LEI,Broker LEI,String,2,20
EMSX_TRADE_REPORTING_INDICATOR,Trade Reporting Indicator,String,2,21
EMSX_TRANSACTION_REPORTING_MIC,Transaction Reporting MIC,String,2,5
EMSX_APA_MIC,APA MIC,String,2,5
EMSX_OTC_FLAG,OTC Flag,String,2,100
EMSX_WAIVER_FLAG,Waiver Flag,String,2,100
EMSX_LAST_CAPACITY,Last Capacity,String,2,2
EMSX_CLIENT_IDENTIFICATION,Client Identification,String,27,2
EMSX_SI,SI,String,27,2
EMSX_MIFID_II_INSTRUCTION,MIFID II Instruction,String,27,30
EMSX_BROKER_SI,Broker SI,String,2,5
EMSX_ROUTE_CREATE_TIME_MICROSEC,TimeAdded Usec,Time,2,20
EMSX_ROUTE_LAST_UPDATE_TIME_MICROSEC,Route Last Update Time Usec,Time,2,20
EMSX_TIME_STAMP_MICROSEC,Create Time Usec,Time,3,20
EMSX_QUEUED_TIME_MICROSEC,Queued Time Usec,Time,3,20
EMSX_LAST_FILL_TIME_MICROSEC,Last Fill Time Usec,Time,2,20
EMSX_GPI,GPI,String,27,22
EMSX_LAST_FILL_DATE,Last Fill Date,Date,2,8
EMSX_ORDER_AS_OF_DATE,Order As of Date,Date,1,8
EMSX_ORDER_AS_OF_TIME_MICROSEC,Order As of Time,Time,1,20
EMSX_ROUTE_AS_OF_DATE,Route As of Date,Date,2,8
EMSX_ROUTE_AS_OF_TIME_MICROSEC,Route As of Time,Time,2,20
EMSX_AS_OF_DATE,Order/Route As of Date,Date,24,8
EMSX_AS_OF_TIME_MICROSEC,Order/Route As of Time,Time,24,20
EMSX_LEG_FILL_SIDE,Leg Fill Side,String,2,3
EMSX_LEG_FILL_DATE_ADDED,Leg Fill Date Added,Date,2,8
EMSX_LEG_FILL_TIME_ADDED,Leg fill Time Added,Time,2,20
EMSX_LEG_FILL_SHARES,Leg Fill Shares,Double,2,15
EMSX_LEG_FILL_PRICE,Leg Fill Price,Double,2,15
EMSX_LEG_FILL_SEQ_NO,Leg Fill Seq No,Int32,2,10
EMSX_LEG_FILL_TICKER,Leg Fill Ticker,String,2,32
EMSX_CUSTOM_NOTE1,Custom Note 1,String,1,128
EMSX_CUSTOM_NOTE2,Custom Note 2,String,1,128
EMSX_CUSTOM_NOTE3,Custom Note 3,String,1,128
EMSX_CUSTOM_NOTE4,Custom Note 4,String,1,128
EMSX_CUSTOM_NOTE5,Custom Note 5,String,1,128
EMSX_MOD_PEND_STATUS,Mod Pend Status,String,1,512
EMSX_BROKER_CLIENT_ORDER_ID,Broker Client Order Id,String,2,128
EMSX_SETTLE_CURRENCY,Settle Currency,String,27,3
EMSX_MANUAL_ORD_INDICATOR,ManualOrdIndicator,Bool,24,1
